CODIGODEBARRAS,NOMBRE,PRESENTACION,MARCA,UNIDADDEMEDIDA,ESPECIFICACIONEMPACADO,CATEGORIA;;;;;;;,;,DEC;PRECIOUNITARIO;,;CANTIDAD;,;CANTIDADRECOMPRA;,;NIVELREORDEN;,;,DEC;PRECIOUNIDADEMEDIDA;,;IDSUCURSAL;,;CODIGODEBARRAS,NOMBRE,PRESENTACION,MARCA,UNIDADDEMEDIDA,ESPECIFICACIONEMPACADO,CATEGORIA,PRECIOUNITARIO,DEC,CANTIDAD,CANTIDADRECOMPRA,NIVELREORDEN,PRECIOUNIDADEMEDIDA,DEC,IDSUCURSAL,
i3o9l8y9z3,Melon - Cantaloupe,Botella Plastica,Thoughtmix,cm3,non,456;;;;;;;,;;1252,214558;,;32;,;68;,;33;,;;3,130536395;,;226;,;i3o9l8y9z3,Melon - Cantaloupe,Botella Plastica,Thoughtmix,cm3,non,456,1252,214558,32,68,33,3,130536395,226,
k1v4j3v6z7,Beef - Texas Style Burger,Caja,Eimbee,cm3,vel,457;;;;;;;,;;771,6072299;,;12;,;29;,;19;,;;1,929018075;,;586;,;k1v4j3v6z7,Beef - Texas Style Burger,Caja,Eimbee,cm3,vel,457,771,6072299,12,29,19,1,929018075,586,
k3r1u3o3w8,Wine - Fontanafredda Barolo,Ancheta,Blogpad,gr,quis,458;;;;;;;,;;14206,01694;,;44;,;93;,;2;,;;35,51504235;,;292;,;k3r1u3o3w8,Wine - Fontanafredda Barolo,Ancheta,Blogpad,gr,quis,458,14206,01694,44,93,2,35,51504235,292,
e0e9o3o8h3,Fennel,Caja,Browsedrive,cm3,aliquet maecenas,459;;;;;;;,;;21159,9171;,;11;,;27;,;38;,;;52,89979276;,;442;,;e0e9o3o8h3,Fennel,Caja,Browsedrive,cm3,aliquet maecenas,459,21159,9171,11,27,38,52,89979276,442,
z5e2v6h4h5,Cookie Dough - Oatmeal Rasin,Tela,Abatz,cm3,tellus,460;;;;;;;,;;11909,00519;,;10;,;24;,;7;,;;29,77251298;,;641;,;z5e2v6h4h5,Cookie Dough - Oatmeal Rasin,Tela,Abatz,cm3,tellus,460,11909,00519,10,24,7,29,77251298,641,
p8m4j1y8r8,Oats Large Flake,Regalo,Linkbridge,gr,ante,461;;;;;;;,;;1947,557435;,;6;,;17;,;21;,;;4,868893586;,;284;,;p8m4j1y8r8,Oats Large Flake,Regalo,Linkbridge,gr,ante,461,1947,557435,6,17,21,4,868893586,284,
u5i2j5a8o5,Aspic - Amber,Paquete,Livepath,cm3,maecenas pulvinar,462;;;;;;;,;;24753,77345;,;36;,;77;,;13;,;;61,88443363;,;832;,;u5i2j5a8o5,Aspic - Amber,Paquete,Livepath,cm3,maecenas pulvinar,462,24753,77345,36,77,13,61,88443363,832,
k9j1s0n9f0,Chef Hat 20cm,Paquete,Yodel,cm3,duis,463;;;;;;;,;;1501,356406;,;10;,;25;,;25;,;;3,753391016;,;448;,;k9j1s0n9f0,Chef Hat 20cm,Paquete,Yodel,cm3,duis,463,1501,356406,10,25,25,3,753391016,448,
"p2w0f7j5b9,""Garlic - Primerba, Paste"",Paquete,Roomm,gr,rhoncus sed,464";;;;;;;,;;33576,06131;,;35;,;75;,;38;,;;83,94015326;,;176;,;"p2w0f7j5b9,""Garlic - Primerba, Paste"",Paquete,Roomm,gr,rhoncus sed,464,33576,06131,35,75,38,83,94015326,176,"
y1w8m4t8r4,Ice Cream Bar - Hageen Daz To,Bolsa,Youopia,gr,natoque,465;;;;;;;,;;38846,91294;,;39;,;83;,;36;,;;97,11728235;,;128;,;y1w8m4t8r4,Ice Cream Bar - Hageen Daz To,Bolsa,Youopia,gr,natoque,465,38846,91294,39,83,36,97,11728235,128,
e9w8a5u9s3,Wine - Magnotta - Belpaese,Tela,Devbug,gr,nunc nisl,466;;;;;;;,;;2641,842844;,;26;,;58;,;1;,;;6,60460711;,;331;,;e9w8a5u9s3,Wine - Magnotta - Belpaese,Tela,Devbug,gr,nunc nisl,466,2641,842844,26,58,1,6,60460711,331,
q1o3o5j1f4,Beets - Mini Golden,Bolsa,Innojam,gr,justo,467;;;;;;;,;;78112,63603;,;17;,;38;,;20;,;;195,2815901;,;186;,;q1o3o5j1f4,Beets - Mini Golden,Bolsa,Innojam,gr,justo,467,78112,63603,17,38,20,195,2815901,186,
i9j3w5b4y1,Soup - Campbells Chili Veg,Regalo,Agivu,cm3,id ligula,468;;;;;;;,;;15620,27594;,;49;,;103;,;14;,;;39,05068985;,;805;,;i9j3w5b4y1,Soup - Campbells Chili Veg,Regalo,Agivu,cm3,id ligula,468,15620,27594,49,103,14,39,05068985,805,
y5h3t9r3b4,Maintenance Removal Charge,Botella Vidrio,Mynte,gr,cursus,469;;;;;;;,;;30034,02378;,;42;,;89;,;15;,;;75,08505945;,;320;,;y5h3t9r3b4,Maintenance Removal Charge,Botella Vidrio,Mynte,gr,cursus,469,30034,02378,42,89,15,75,08505945,320,
x0k3i6l4q3,Wine - Alsace Riesling Reserve,Botella,Roombo,gr,ipsum primis,470;;;;;;;,;;10688,74966;,;42;,;89;,;44;,;;26,72187414;,;118;,;x0k3i6l4q3,Wine - Alsace Riesling Reserve,Botella,Roombo,gr,ipsum primis,470,10688,74966,42,89,44,26,72187414,118,
b2t2u5n3t2,Gooseberry,Bolsa,Kwinu,gr,amet nunc,471;;;;;;;,;;6475,623897;,;42;,;90;,;9;,;;16,18905974;,;145;,;b2t2u5n3t2,Gooseberry,Bolsa,Kwinu,gr,amet nunc,471,6475,623897,42,90,9,16,18905974,145,
x9s3y8d3k6,Table Cloth 62x114 Colour,Regalo,Yakidoo,cm3,blandit nam,472;;;;;;;,;;47474,10219;,;34;,;73;,;43;,;;118,6852555;,;579;,;x9s3y8d3k6,Table Cloth 62x114 Colour,Regalo,Yakidoo,cm3,blandit nam,472,47474,10219,34,73,43,118,6852555,579,
f1q6i8k6k2,Sultanas,Bolsa,Zoomlounge,cm3,eu sapien,473;;;;;;;,;;7064,091419;,;30;,;66;,;9;,;;17,66022855;,;613;,;f1q6i8k6k2,Sultanas,Bolsa,Zoomlounge,cm3,eu sapien,473,7064,091419,30,66,9,17,66022855,613,
"d8u2b3z9y7,""Pasta - Rotini, Colour, Dry"",Canasta,Abatz,gr,eget,474";;;;;;;,;;56635,56124;,;29;,;62;,;3;,;;141,5889031;,;234;,;"d8u2b3z9y7,""Pasta - Rotini, Colour, Dry"",Canasta,Abatz,gr,eget,474,56635,56124,29,62,3,141,5889031,234,"
"a9s5i4j3f9,""Beans - Navy, Dry"",Bolsa,Eire,cm3,lacus at,475";;;;;;;,;;14620,01686;,;27;,;58;,;12;,;;36,55004216;,;940;,;"a9s5i4j3f9,""Beans - Navy, Dry"",Bolsa,Eire,cm3,lacus at,475,14620,01686,27,58,12,36,55004216,940,"
a9y9r2n6c1,Rice - Brown,Ancheta,Linkbridge,cm3,pharetra,476;;;;;;;,;;12357,35265;,;47;,;100;,;45;,;;30,89338162;,;273;,;a9y9r2n6c1,Rice - Brown,Ancheta,Linkbridge,cm3,pharetra,476,12357,35265,47,100,45,30,89338162,273,
l8o5w2z1n5,Five Alive Citrus,Botella,Browsecat,cm3,amet,477;;;;;;;,;;17856,01889;,;15;,;36;,;31;,;;44,64004723;,;80;,;l8o5w2z1n5,Five Alive Citrus,Botella,Browsecat,cm3,amet,477,17856,01889,15,36,31,44,64004723,80,
u3r5f9y0j4,Rolled Oats,Paquete,Zooxo,cm3,lobortis vel,478;;;;;;;,;;855,1764067;,;46;,;97;,;16;,;;2,137941017;,;80;,;u3r5f9y0j4,Rolled Oats,Paquete,Zooxo,cm3,lobortis vel,478,855,1764067,46,97,16,2,137941017,80,
o9q6b5i8k2,Broom - Angled,Botella Vidrio,Snaptags,cm3,proin,479;;;;;;;,;;34321,66082;,;44;,;94;,;31;,;;85,80415205;,;343;,;o9q6b5i8k2,Broom - Angled,Botella Vidrio,Snaptags,cm3,proin,479,34321,66082,44,94,31,85,80415205,343,
y4u7g3j9j7,Kiwi Gold Zespri,Regalo,Jatri,cm3,orci,480;;;;;;;,;;20684,63939;,;50;,;105;,;23;,;;51,71159848;,;393;,;y4u7g3j9j7,Kiwi Gold Zespri,Regalo,Jatri,cm3,orci,480,20684,63939,50,105,23,51,71159848,393,
h9p0k9n9t1,Puff Pastry - Slab,Paquete,Yabox,gr,eget elit,481;;;;;;;,;;5343,107455;,;49;,;104;,;39;,;;13,35776864;,;944;,;h9p0k9n9t1,Puff Pastry - Slab,Paquete,Yabox,gr,eget elit,481,5343,107455,49,104,39,13,35776864,944,
"c3u3t4c2z1,""Pail - 15l White, With Handle"",Paquete,Dynabox,cm3,quam,482";;;;;;;,;;46415,14079;,;13;,;32;,;15;,;;116,037852;,;485;,;"c3u3t4c2z1,""Pail - 15l White, With Handle"",Paquete,Dynabox,cm3,quam,482,46415,14079,13,32,15,116,037852,485,"
"l2w1f6q8b1,""Wine - Red, Concha Y Toro"",Botella Vidrio,Tagpad,cm3,in felis,483";;;;;;;,;;57885,48425;,;7;,;19;,;31;,;;144,7137106;,;649;,;"l2w1f6q8b1,""Wine - Red, Concha Y Toro"",Botella Vidrio,Tagpad,cm3,in felis,483,57885,48425,7,19,31,144,7137106,649,"
i3v9l8s8h4,Juice - Mango,Bolsa,Topiczoom,gr,natoque,484;;;;;;;,;;23872,73856;,;44;,;93;,;10;,;;59,6818464;,;803;,;i3v9l8s8h4,Juice - Mango,Bolsa,Topiczoom,gr,natoque,484,23872,73856,44,93,10,59,6818464,803,
g7k8v0f6t5,Tea - English Breakfast,Paquete,Devpoint,gr,maecenas,485;;;;;;;,;;42211,83849;,;33;,;72;,;50;,;;105,5295962;,;364;,;g7k8v0f6t5,Tea - English Breakfast,Paquete,Devpoint,gr,maecenas,485,42211,83849,33,72,50,105,5295962,364,
c1w0r1h8s6,Raisin - Golden,Tela,Gigazoom,cm3,vel nisl,486;;;;;;;,;;3236,674079;,;10;,;24;,;17;,;;8,091685197;,;559;,;c1w0r1h8s6,Raisin - Golden,Tela,Gigazoom,cm3,vel nisl,486,3236,674079,10,24,17,8,091685197,559,
v5f3s3n1z8,Wine - Zinfandel Rosenblum,Ancheta,Vinte,gr,vel,487;;;;;;;,;;31909,71518;,;10;,;24;,;48;,;;79,77428795;,;408;,;v5f3s3n1z8,Wine - Zinfandel Rosenblum,Ancheta,Vinte,gr,vel,487,31909,71518,10,24,48,79,77428795,408,
h4a5e3u6v6,Papayas,Ancheta,Yamia,gr,est congue,488;;;;;;;,;;54310,93538;,;44;,;93;,;35;,;;135,7773384;,;350;,;h4a5e3u6v6,Papayas,Ancheta,Yamia,gr,est congue,488,54310,93538,44,93,35,135,7773384,350,
t5p5d4i8o4,Wine - Sauvignon Blanc,Botella Vidrio,Katz,cm3,cubilia curae,489;;;;;;;,;;22747,34773;,;45;,;96;,;50;,;;56,86836933;,;361;,;t5p5d4i8o4,Wine - Sauvignon Blanc,Botella Vidrio,Katz,cm3,cubilia curae,489,22747,34773,45,96,50,56,86836933,361,
t7x5b5j5x5,Rolled Oats,Botella,Jaxbean,gr,nunc purus,490;;;;;;;,;;2955,54915;,;4;,;14;,;16;,;;7,388872876;,;398;,;t7x5b5j5x5,Rolled Oats,Botella,Jaxbean,gr,nunc purus,490,2955,54915,4,14,16,7,388872876,398,
v5g0a3w5z0,Longos - Lasagna Beef,Ancheta,Tagfeed,gr,sit amet,491;;;;;;;,;;79229,80542;,;23;,;52;,;34;,;;198,0745135;,;7;,;v5g0a3w5z0,Longos - Lasagna Beef,Ancheta,Tagfeed,gr,sit amet,491,79229,80542,23,52,34,198,0745135,7,
y8f4i4y8h5,Cake - Miini Cheesecake Cherry,Bolsa,Flashdog,gr,curabitur in,492;;;;;;;,;;49686,16138;,;37;,;79;,;34;,;;124,2154035;,;291;,;y8f4i4y8h5,Cake - Miini Cheesecake Cherry,Bolsa,Flashdog,gr,curabitur in,492,49686,16138,37,79,34,124,2154035,291,
g9x2u3m5e3,Gelatine Powder,Botella,Blogtag,gr,posuere,493;;;;;;;,;;7114,695164;,;24;,;52;,;33;,;;17,78673791;,;291;,;g9x2u3m5e3,Gelatine Powder,Botella,Blogtag,gr,posuere,493,7114,695164,24,52,33,17,78673791,291,
q3b7j2w9c9,Cheese - Victor Et Berthold,Bolsa,Youtags,gr,in congue,494;;;;;;;,;;29709,63161;,;7;,;20;,;1;,;;74,27407902;,;802;,;q3b7j2w9c9,Cheese - Victor Et Berthold,Bolsa,Youtags,gr,in congue,494,29709,63161,7,20,1,74,27407902,802,
a3h4s3i6q5,Whmis - Spray Bottle Trigger,Botella Plastica,Teklist,cm3,natoque penatibus,495;;;;;;;,;;10422,17995;,;13;,;30;,;16;,;;26,05544987;,;71;,;a3h4s3i6q5,Whmis - Spray Bottle Trigger,Botella Plastica,Teklist,cm3,natoque penatibus,495,10422,17995,13,30,16,26,05544987,71,
u4l7f2m7i2,Pork - Smoked Kassler,Tela,Twitterworks,cm3,id,496;;;;;;;,;;2118,214825;,;7;,;19;,;50;,;;5,295537062;,;599;,;u4l7f2m7i2,Pork - Smoked Kassler,Tela,Twitterworks,cm3,id,496,2118,214825,7,19,50,5,295537062,599,
h7v6z5q5o7,Cumin - Ground,Ancheta,Edgeclub,gr,magnis dis,497;;;;;;;,;;22166,19002;,;22;,;49;,;8;,;;55,41547504;,;381;,;h7v6z5q5o7,Cumin - Ground,Ancheta,Edgeclub,gr,magnis dis,497,22166,19002,22,49,8,55,41547504,381,
l0u1u0w2k2,Spring Roll Wrappers,Ancheta,Mybuzz,cm3,enim,498;;;;;;;,;;20935,94305;,;0;,;5;,;30;,;;52,33985763;,;844;,;l0u1u0w2k2,Spring Roll Wrappers,Ancheta,Mybuzz,cm3,enim,498,20935,94305,0,5,30,52,33985763,844,
f0i6w7z0y1,Apron,Regalo,Dynabox,gr,dolor sit,499;;;;;;;,;;15937,0387;,;28;,;61;,;4;,;;39,84259674;,;454;,;f0i6w7z0y1,Apron,Regalo,Dynabox,gr,dolor sit,499,15937,0387,28,61,4,39,84259674,454,
r7u8x3r9d9,Liquid Aminios Acid - Braggs,Botella,Rooxo,gr,donec diam,500;;;;;;;,;;1907,660669;,;23;,;51;,;37;,;;4,769151672;,;973;,;r7u8x3r9d9,Liquid Aminios Acid - Braggs,Botella,Rooxo,gr,donec diam,500,1907,660669,23,51,37,4,769151672,973,
h3m0c0j9j9,Wine - Vouvray Cuvee Domaine,Tela,Blogtags,cm3,ultrices,501;;;;;;;,;;5657,658688;,;48;,;100;,;24;,;;14,14414672;,;699;,;h3m0c0j9j9,Wine - Vouvray Cuvee Domaine,Tela,Blogtags,cm3,ultrices,501,5657,658688,48,100,24,14,14414672,699,
r5b5j4y1o8,Jagermeister,Botella Plastica,Tagchat,cm3,venenatis,502;;;;;;;,;;16084,42986;,;30;,;66;,;20;,;;40,21107466;,;3;,;r5b5j4y1o8,Jagermeister,Botella Plastica,Tagchat,cm3,venenatis,502,16084,42986,30,66,20,40,21107466,3,
g0n2y9c6g5,Rye Special Old,Tela,Mudo,gr,lorem,503;;;;;;;,;;1625,357429;,;0;,;5;,;3;,;;4,063393572;,;639;,;g0n2y9c6g5,Rye Special Old,Tela,Mudo,gr,lorem,503,1625,357429,0,5,3,4,063393572,639,
"v1h7o8c9c3,""Cake Circle, Paprus"",Ancheta,Vipe,gr,luctus rutrum,504";;;;;;;,;;29526,56223;,;43;,;91;,;15;,;;73,81640556;,;37;,;"v1h7o8c9c3,""Cake Circle, Paprus"",Ancheta,Vipe,gr,luctus rutrum,504,29526,56223,43,91,15,73,81640556,37,"
"z9b2c8b8p2,""Mustard - Dry, Powder"",Botella,Plambee,gr,turpis,505";;;;;;;,;;41826,84045;,;37;,;79;,;37;,;;104,5671011;,;764;,;"z9b2c8b8p2,""Mustard - Dry, Powder"",Botella,Plambee,gr,turpis,505,41826,84045,37,79,37,104,5671011,764,"
"r6s8j2q1w4,""Rum - Cream, Amarula"",Canasta,Avamba,gr,elit proin,506";;;;;;;,;;1290,471666;,;34;,;74;,;30;,;;3,226179166;,;474;,;"r6s8j2q1w4,""Rum - Cream, Amarula"",Canasta,Avamba,gr,elit proin,506,1290,471666,34,74,30,3,226179166,474,"
"y9c7r9c6i8,""Sparkling Wine - Rose, Freixenet"",Botella Plastica,Pixoboo,cm3,odio,507";;;;;;;,;;12176,10267;,;9;,;22;,;46;,;;30,44025669;,;888;,;"y9c7r9c6i8,""Sparkling Wine - Rose, Freixenet"",Botella Plastica,Pixoboo,cm3,odio,507,12176,10267,9,22,46,30,44025669,888,"
k9z1j0g3m1,Cucumber - English,Botella Plastica,Myworks,gr,aliquam augue,508;;;;;;;,;;12545,13936;,;33;,;71;,;10;,;;31,3628484;,;817;,;k9z1j0g3m1,Cucumber - English,Botella Plastica,Myworks,gr,aliquam augue,508,12545,13936,33,71,10,31,3628484,817,
z7c7q9h7z6,Chicken Thigh - Bone Out,Caja,Thoughtbridge,cm3,curabitur,509;;;;;;;,;;1466,450336;,;24;,;53;,;18;,;;3,666125839;,;217;,;z7c7q9h7z6,Chicken Thigh - Bone Out,Caja,Thoughtbridge,cm3,curabitur,509,1466,450336,24,53,18,3,666125839,217,
j7h3k0y8w2,Parsnip,Paquete,Yadel,cm3,ligula,510;;;;;;;,;;68720,58052;,;18;,;41;,;34;,;;171,8014513;,;973;,;j7h3k0y8w2,Parsnip,Paquete,Yadel,cm3,ligula,510,68720,58052,18,41,34,171,8014513,973,
s1k2s6s9b4,Scallops - 20/30,Canasta,Trilith,gr,sit amet,511;;;;;;;,;;30328,40898;,;48;,;102;,;49;,;;75,82102244;,;294;,;s1k2s6s9b4,Scallops - 20/30,Canasta,Trilith,gr,sit amet,511,30328,40898,48,102,49,75,82102244,294,
"e2w5k5h7o4,""Beans - Kidney, Canned"",Botella Vidrio,Twiyo,cm3,non,512";;;;;;;,;;47460,08564;,;32;,;70;,;31;,;;118,6502141;,;194;,;"e2w5k5h7o4,""Beans - Kidney, Canned"",Botella Vidrio,Twiyo,cm3,non,512,47460,08564,32,70,31,118,6502141,194,"
i1d9s8w3p7,Straws - Cocktale,Ancheta,Yodoo,gr,semper,513;;;;;;;,;;590,1571251;,;41;,;86;,;21;,;;1,475392813;,;65;,;i1d9s8w3p7,Straws - Cocktale,Ancheta,Yodoo,gr,semper,513,590,1571251,41,86,21,1,475392813,65,
h1w6u1c5c3,Pur Source,Paquete,Skinder,gr,donec quis,514;;;;;;;,;;62283,69601;,;29;,;63;,;11;,;;155,70924;,;340;,;h1w6u1c5c3,Pur Source,Paquete,Skinder,gr,donec quis,514,62283,69601,29,63,11,155,70924,340,
t5o0x0e1w2,Energy Drink Red Bull,Botella Vidrio,Devbug,gr,orci,515;;;;;;;,;;10641,73986;,;33;,;70;,;39;,;;26,60434965;,;784;,;t5o0x0e1w2,Energy Drink Red Bull,Botella Vidrio,Devbug,gr,orci,515,10641,73986,33,70,39,26,60434965,784,
y6l0j3i3r7,Mountain Dew,Tela,Edgetag,cm3,nunc donec,516;;;;;;;,;;1641,548544;,;17;,;39;,;47;,;;4,10387136;,;203;,;y6l0j3i3r7,Mountain Dew,Tela,Edgetag,cm3,nunc donec,516,1641,548544,17,39,47,4,10387136,203,
i6a0i9x7r2,Cinnamon Buns Sticky,Tela,Topdrive,cm3,elementum pellentesque,517;;;;;;;,;;23441,64065;,;43;,;91;,;10;,;;58,60410163;,;311;,;i6a0i9x7r2,Cinnamon Buns Sticky,Tela,Topdrive,cm3,elementum pellentesque,517,23441,64065,43,91,10,58,60410163,311,
"a6z8a4m7j0,""Lemonade - Natural, 591 Ml"",Canasta,Kamba,gr,erat,518";;;;;;;,;;19751,77752;,;6;,;17;,;44;,;;49,3794438;,;314;,;"a6z8a4m7j0,""Lemonade - Natural, 591 Ml"",Canasta,Kamba,gr,erat,518,19751,77752,6,17,44,49,3794438,314,"
n6d4l9p7b2,Puree - Guava,Bolsa,Demizz,gr,eget,519;;;;;;;,;;20340,0476;,;41;,;87;,;38;,;;50,850119;,;856;,;n6d4l9p7b2,Puree - Guava,Bolsa,Demizz,gr,eget,519,20340,0476,41,87,38,50,850119,856,
b3a1y7j1q6,Tilapia - Fillets,Botella,Devify,cm3,tortor sollicitudin,520;;;;;;;,;;22078,00955;,;47;,;99;,;25;,;;55,19502388;,;108;,;b3a1y7j1q6,Tilapia - Fillets,Botella,Devify,cm3,tortor sollicitudin,520,22078,00955,47,99,25,55,19502388,108,
c6v0t6z2q3,Muffin Mix - Corn Harvest,Ancheta,Myworks,gr,suspendisse,521;;;;;;;,;;46531,31913;,;38;,;80;,;43;,;;116,3282978;,;762;,;c6v0t6z2q3,Muffin Mix - Corn Harvest,Ancheta,Myworks,gr,suspendisse,521,46531,31913,38,80,43,116,3282978,762,
x7y3n9a1w8,Sugar - Crumb,Bolsa,Quamba,gr,rutrum,522;;;;;;;,;;26518,92772;,;7;,;18;,;35;,;;66,2973193;,;267;,;x7y3n9a1w8,Sugar - Crumb,Bolsa,Quamba,gr,rutrum,522,26518,92772,7,18,35,66,2973193,267,
l0o5e0z0n2,Energy Drink,Botella Vidrio,Wikizz,gr,sit,523;;;;;;;,;;7811,821627;,;7;,;19;,;44;,;;19,52955407;,;717;,;l0o5e0z0n2,Energy Drink,Botella Vidrio,Wikizz,gr,sit,523,7811,821627,7,19,44,19,52955407,717,
b1y5l6c2t6,Wine - Fontanafredda Barolo,Bolsa,Yakijo,cm3,ultricies,524;;;;;;;,;;22306,23755;,;24;,;53;,;27;,;;55,76559388;,;465;,;b1y5l6c2t6,Wine - Fontanafredda Barolo,Bolsa,Yakijo,cm3,ultricies,524,22306,23755,24,53,27,55,76559388,465,
w4n2j7m9x1,Sugar - Cubes,Canasta,Aivee,gr,eget,525;;;;;;;,;;85058,32863;,;24;,;53;,;11;,;;212,6458216;,;260;,;w4n2j7m9x1,Sugar - Cubes,Canasta,Aivee,gr,eget,525,85058,32863,24,53,11,212,6458216,260,
"y5j6j7f2f2,""Soup - Campbells, Classic Chix"",Tela,Lajo,gr,amet sem,526";;;;;;;,;;4555,688071;,;6;,;18;,;12;,;;11,38922018;,;40;,;"y5j6j7f2f2,""Soup - Campbells, Classic Chix"",Tela,Lajo,gr,amet sem,526,4555,688071,6,18,12,11,38922018,40,"
g0u5b3n0q0,Mushroom - Chanterelle Frozen,Botella Vidrio,Avamm,gr,nibh,527;;;;;;;,;;2804,148945;,;35;,;74;,;28;,;;7,010372361;,;600;,;g0u5b3n0q0,Mushroom - Chanterelle Frozen,Botella Vidrio,Avamm,gr,nibh,527,2804,148945,35,74,28,7,010372361,600,
"y2k1f2o0e1,""Soup - Campbells, Chix Gumbo"",Canasta,Flashdog,cm3,non,528";;;;;;;,;;6286,05471;,;30;,;66;,;42;,;;15,71513677;,;267;,;"y2k1f2o0e1,""Soup - Campbells, Chix Gumbo"",Canasta,Flashdog,cm3,non,528,6286,05471,30,66,42,15,71513677,267,"
m0d6u8y0r2,Wine - Cabernet Sauvignon,Botella,Aibox,cm3,potenti,529;;;;;;;,;;27268,9292;,;12;,;29;,;27;,;;68,17232301;,;61;,;m0d6u8y0r2,Wine - Cabernet Sauvignon,Botella,Aibox,cm3,potenti,529,27268,9292,12,29,27,68,17232301,61,
"p9t3o6z3l4,""Ham - Smoked, Bone - In"",Botella,Vitz,gr,duis,530";;;;;;;,;;2933,581865;,;22;,;49;,;38;,;;7,333954661;,;471;,;"p9t3o6z3l4,""Ham - Smoked, Bone - In"",Botella,Vitz,gr,duis,530,2933,581865,22,49,38,7,333954661,471,"
c4g6g1m5c2,Walkers Special Old Whiskey,Paquete,Browsedrive,cm3,vestibulum ac,531;;;;;;;,;;20490,6307;,;2;,;9;,;9;,;;51,22657676;,;640;,;c4g6g1m5c2,Walkers Special Old Whiskey,Paquete,Browsedrive,cm3,vestibulum ac,531,20490,6307,2,9,9,51,22657676,640,
j2h9w9g6u9,Grenadillo,Tela,Feedmix,cm3,volutpat in,532;;;;;;;,;;105,7034177;,;8;,;20;,;42;,;;0,264258544;,;401;,;j2h9w9g6u9,Grenadillo,Tela,Feedmix,cm3,volutpat in,532,105,7034177,8,20,42,0,264258544,401,
v7j0w5x5p1,Veal - Liver,Botella Plastica,Centidel,gr,amet eleifend,533;;;;;;;,;;12580,4959;,;2;,;9;,;48;,;;31,45123975;,;20;,;v7j0w5x5p1,Veal - Liver,Botella Plastica,Centidel,gr,amet eleifend,533,12580,4959,2,9,48,31,45123975,20,
y1p9g7p0f2,Syrup - Pancake,Botella Plastica,Skilith,cm3,nulla suscipit,534;;;;;;;,;;12602,45062;,;40;,;85;,;14;,;;31,50612654;,;463;,;y1p9g7p0f2,Syrup - Pancake,Botella Plastica,Skilith,cm3,nulla suscipit,534,12602,45062,40,85,14,31,50612654,463,
g3j2p9i7d3,Tea - Lemon Green Tea,Ancheta,Rhynoodle,gr,nulla,535;;;;;;;,;;29206,26747;,;46;,;96;,;21;,;;73,01566866;,;813;,;g3j2p9i7d3,Tea - Lemon Green Tea,Ancheta,Rhynoodle,gr,nulla,535,29206,26747,46,96,21,73,01566866,813,
t6r0o9i4w8,Creme De Cacao White,Ancheta,Roomm,cm3,integer a,536;;;;;;;,;;9305,220087;,;13;,;30;,;0;,;;23,26305022;,;291;,;t6r0o9i4w8,Creme De Cacao White,Ancheta,Roomm,cm3,integer a,536,9305,220087,13,30,0,23,26305022,291,
p0y2n8l3e2,Muffin Puck Ww Carrot,Tela,Nlounge,cm3,molestie nibh,537;;;;;;;,;;62290,12367;,;48;,;101;,;37;,;;155,7253092;,;54;,;p0y2n8l3e2,Muffin Puck Ww Carrot,Tela,Nlounge,cm3,molestie nibh,537,62290,12367,48,101,37,155,7253092,54,
"p6k0f8c0h3,""Oil - Shortening,liqud, Fry"",Canasta,Roombo,gr,nibh quisque,538";;;;;;;,;;9714,401733;,;47;,;99;,;4;,;;24,28600433;,;771;,;"p6k0f8c0h3,""Oil - Shortening,liqud, Fry"",Canasta,Roombo,gr,nibh quisque,538,9714,401733,47,99,4,24,28600433,771,"
"c5r1e1y8l4,""C - Plus, Orange"",Paquete,Edgeblab,gr,in,539";;;;;;;,;;16599,57464;,;20;,;44;,;47;,;;41,49893659;,;976;,;"c5r1e1y8l4,""C - Plus, Orange"",Paquete,Edgeblab,gr,in,539,16599,57464,20,44,47,41,49893659,976,"
c9j6u5f8v1,Pineapple - Regular,Paquete,Jamia,gr,gravida sem,540;;;;;;;,;;85192,00121;,;44;,;93;,;24;,;;212,980003;,;302;,;c9j6u5f8v1,Pineapple - Regular,Paquete,Jamia,gr,gravida sem,540,85192,00121,44,93,24,212,980003,302,
c6w9k6a4b8,Water - Green Tea Refresher,Botella Plastica,Dynabox,cm3,dui vel,541;;;;;;;,;;15712,44012;,;37;,;79;,;13;,;;39,28110031;,;461;,;c6w9k6a4b8,Water - Green Tea Refresher,Botella Plastica,Dynabox,cm3,dui vel,541,15712,44012,37,79,13,39,28110031,461,
w8j4s9b1k6,Cup Translucent 9 Oz,Botella Plastica,Meezzy,cm3,erat nulla,542;;;;;;;,;;53860,87716;,;2;,;9;,;31;,;;134,6521929;,;570;,;w8j4s9b1k6,Cup Translucent 9 Oz,Botella Plastica,Meezzy,cm3,erat nulla,542,53860,87716,2,9,31,134,6521929,570,
"a5r7r7h3l0,""Crush - Grape, 355 Ml"",Ancheta,Thoughtmix,gr,iaculis,543";;;;;;;,;;9466,231418;,;28;,;61;,;45;,;;23,66557854;,;664;,;"a5r7r7h3l0,""Crush - Grape, 355 Ml"",Ancheta,Thoughtmix,gr,iaculis,543,9466,231418,28,61,45,23,66557854,664,"
